Event_ID,Fire_Date,Event_Class,Site_Relationship,Reported_Location,Evidence_Confidence,Within_FIRMS_Coverage,Exact_FIRMS_1km,Exact_FIRMS_5km,Nearest_Landsat_Date,Nearest_Days,Nearest_Delta_C,Nearest_Robust_Z,Nearest_Class,First_Post_Landsat_Date,Post_Days,Post_Delta_C,Post_Robust_Z,Post_Class
PRK-2014-X01,2014-03-16,EXCLUDED_DIFFERENT_LANDFILL,"Different landfill: Praksa Soi 8, Moo 4, Tambon Praksa","Soi Praksa 8, Moo 4, Tambon Praksa, Mueang Samut Prakan",Very high,Yes,0,7,2014-03-06,-10,9.255713324999997,0.0,Background range,2014-04-07,22.0,12.899883023017573,2.179721339132834,Elevated anomaly
PSM-2014-C01,2014-03-17,AMBIGUOUS_CONFLICT,Conflicting location report; likely misattribution of the Praksa Soi 8 disaster,"One editorial reports Soi Khajornwit, Tambon Praek Sa Mai",Low for target-site attribution,Yes,0,2,2014-03-06,-11,9.255713324999997,0.0,Background range,2014-04-07,21.0,12.899883023017573,2.179721339132834,Elevated anomaly
PRK-2014-X02,2014-05-12,EXCLUDED_DIFFERENT_LANDFILL,Different landfill: Praksa Soi 8 recurrence,"Praksa Soi 8, Tambon Praksa",Very high,Yes,0,1,2014-05-25,13,10.623951484439369,0.2783776025113356,Background range,2014-05-25,13.0,10.623951484439369,0.2783776025113356,Background range
PRK-2017-X01,2017-07-11,EXCLUDED_DIFFERENT_LANDFILL,Different old landfill at Soi Praksa 8,"Old waste pit, Soi Praksa 8, Tambon Praksa",Very high,Yes,0,0,2017-06-02,-39,9.532895428234449,0.7640929264854889,Background range,,,,,
PSM-2022-01,2022-03-10,CONFIRMED_TARGET,Inside Eastern Energy Plus / Praek Sa Mai waste-management facility,"Moo 5, Praek Sa Mai; EEP facility / Soi Khajornwit area",Very high,Yes,0,0,2022-03-12,2,10.287219073990094,0.4407922743145039,Background range,2022-03-12,2.0,10.287219073990094,0.4407922743145039,Background range
PSM-2023-01,2023-01-30,CONFIRMED_TARGET,Inside EEP Praek Sa Mai facility,"168/1 Soi Mangkon-Nakdee, Praek Sa Mai, Mueang Samut Prakan",Very high,Yes,0,0,2023-01-26,-4,12.962812012576656,1.820154466130652,Background range,2023-02-11,12.0,8.213996954443203,-0.0871176310109665,Background range
PRK-2023-X01,2023-05-14,EXCLUDED_DIFFERENT_LANDFILL,"Different old Praksa landfill, Soi 8","Praksa old dump (บ่อเก่า), Soi 8, Tambon Praksa",Very high,Yes,0,4,2023-05-18,4,10.899785568819368,0.3483341664821819,Background range,2023-05-18,4.0,10.899785568819368,0.3483341664821819,Background range
PSM-2023-A01,2023-05-27,ADJACENT_NEAR_SITE,"Private land immediately east of EEP, along Thap Nang Canal",Private land east of EEP landfill / Thap Nang Canal,High for location/event; moderate for cause,Yes,0,0,2023-05-26,-1,10.965953134645154,0.3651154702209538,Background range,2023-06-03,7.0,7.06682015694858,-0.58604753360198,Background range
PSM-2024-01,2024-01-17,CONFIRMED_TARGET,Inside Praek Sa Mai landfill,"Praek Sa Mai landfill, Soi Khajornwit, Praek Sa Mai",Very high,Yes,0,0,2024-01-13,-4,5.330775738904379,-1.9547477839459808,Background range,2024-01-21,4.0,10.148723613612743,0.4282705378782983,Background range
PSM-2024-B01,2024-03-11,BOUNDARY_NOT_CORE,Overlapping/boundary area with another private company; PCD explicitly states not in EEP landfill area,Old waste pile in overlapping private-property area at/near EEP Praek Sa Mai site,Very high,Yes,2,2,2024-03-17,6,7.677325643131517,-0.6744907594765952,Background range,2024-03-17,6.0,7.677325643131517,-0.6744907594765952,Background range
PSM-2024-P01,2024-11-12,PERIPHERAL_ENTRANCE,Entrance to Praek Sa Mai dumpsite,Entrance area of Praek Sa Mai dumpsite,High,Yes,0,0,2024-11-12,0,12.96619701383606,2.260633903792632,Elevated anomaly,2024-11-12,0.0,12.96619701383606,2.260633903792632,Elevated anomaly
PSM-2025-01,2025-12-16,CONFIRMED_TARGET,"Praek Sa Mai dumpsite, Moo 5","Moo 5, Tambon Praek Sa Mai, Mueang Samut Prakan",Very high,Yes,0,0,2025-12-17,1,10.1364964119184,0.2909222903931693,Background range,2025-12-17,1.0,10.1364964119184,0.2909222903931693,Background range
PSM-2025-P01,2025-12-28,PERIPHERAL_ENTRANCE,Soi/road at entrance to the dumpsite,Road/soi entering Praek Sa Mai dumpsite area,High,Yes,0,0,2025-12-25,-3,9.733041124903757,0.0619578634643213,Background range,2026-01-02,5.0,9.890465663559551,0.3005328697386675,Background range
PSM-2026-01,2026-02-04,CONFIRMED_TARGET,Old waste pile inside Praek Sa Mai dumpsite,"Old waste pile in Praek Sa Mai dumpsite, Moo 5",Very high for event; moderate-high for cause,Yes,0,0,2026-02-03,-1,8.145653438194081,-0.1150918023309824,Background range,2026-02-19,15.0,6.773515643000607,-0.6767312944737952,Background range
PSM-2026-02,2026-05-24,CONFIRMED_TARGET,Inside EEP project area; HDPE cover/liner area,HDPE cover area inside Praek Sa Mai waste-management project,Very high for event; high-moderate for cause,No,0,0,2026-05-26,2,1.6548497506819473,-1.9963504848784512,Background range,2026-05-26,2.0,1.6548497506819473,-1.9963504848784512,Background range
